X      	Y      	ndn-with-cache-no-mob-pollution      	ndn-with-cache-with-mob-v2v-pollution      	
3      	0      	14.670498      	14.173146      	
3      	0      	19.559416      	10.1937532      	
3      	0      	27.34868      	7.4985568      	
3      	0      	19.787328      	7.461984      	
3      	0      	33.51576      	4.6017006      	
3      	0      	4.3747986      	30.63046      	
3      	0      	16.98452      	3.2218904      	
3      	0      	19.031614      	11.864562      	
3      	0      	21.0337      	1.096048712      	
3      	0      	29.440756      	16.7788636      	
3      	0      	23.980208      	15.3636728      	
3      	0      	25.1015624      	21.925692      	
3      	0      	23.00625      	18.7997732      	
3      	0      	15.6994358      	28.267884      	
3      	0      	23.852068      	10.8351      	
3      	0      	26.65182      	23.134      	
3      	0      	31.4429      	19.270636      	
3      	0      	18.431108      	41.39089      	
3      	0      	16.753548      	5.3551234      	
3      	0      	12.558432      	33.023904      	
5      	0      	19.32756      	24.38958      	
5      	0      	30.68844      	68.21108      	
5      	0      	12.225842      	22.8976328      	
5      	0      	18.2198214      	12.643452      	
5      	0      	51.05458      	9.115112      	
5      	0      	24.123178      	16.363154      	
5      	0      	15.617584      	22.672916      	
5      	0      	16.733076      	23.53969      	
5      	0      	17.847856      	5.0448112      	
5      	0      	20.347168      	19.15598      	
5      	0      	20.627656      	15.89096      	
5      	0      	17.2855016      	3.346948      	
5      	0      	13.542122      	6.867052      	
5      	0      	13.89158      	16.395238      	
5      	0      	23.0376      	22.802982      	
5      	0      	23.270916      	17.872714      	
5      	0      	19.6379954      	37.110042      	
5      	0      	8.44503      	38.62736      	
5      	0      	18.521026      	8.872228      	
5      	0      	24.093674      	30.851946      	
7      	0      	25.442442      	31.521768      	
7      	0      	15.550394      	14.579574      	
7      	0      	16.889255852      	8.287474      	
7      	0      	21.39376172      	16.444108      	
7      	0      	27.27696      	14.6625348      	
7      	0      	7.3841486      	21.16265      	
7      	0      	28.706904      	14.986408      	
7      	0      	29.62114      	17.869804      	
7      	0      	21.037684      	6.604098      	
7      	0      	20.7852002      	25.490286      	
7      	0      	9.274482      	25.423762      	
7      	0      	21.967292      	14.597666      	
7      	0      	19.920042      	6.924162      	
7      	0      	11.42856      	15.7182016      	
7      	0      	30.17477      	46.68448      	
7      	0      	16.207172      	9.9467508      	
7      	0      	4.875212      	23.526464      	
7      	0      	10.72685866      	20.418598      	
7      	0      	17.752274      	15.28193      	
7      	0      	7.816072      	40.064174      	
9      	0      	10.664178      	31.07464      	
9      	0      	9.543348      	15.61765      	
9      	0      	15.269561408      	24.121934      	
9      	0      	20.18221      	4.3231918      	
9      	0      	24.789032      	11.298234      	
9      	0      	9.89284      	9.673839898      	
9      	0      	16.854476      	8.499094      	
9      	0      	6.922198      	43.49262      	
9      	0      	17.054576      	18.424808      	
9      	0      	12.2719936      	29.94746      	
9      	0      	24.28208      	19.03591      	
9      	0      	34.198302      	40.32808      	
9      	0      	24.103382      	7.424526      	
9      	0      	17.36492      	15.600386      	
9      	0      	24.403452      	21.143238      	
9      	0      	17.614572      	8.916288      	
9      	0      	34.64316      	25.77494      	
9      	0      	17.684164      	19.6443516      	
9      	0      	15.905764      	13.775608      	
9      	0      	10.598602      	39.6035176      	
11      	0      	26.51152      	20.485386      	
11      	0      	22.014618      	18.525398      	
11      	0      	25.108      	21.296430822      	
11      	0      	11.7946982      	9.874598      	
11      	0      	24.74628      	15.3784834      	
11      	0      	21.7979      	23.4358428      	
11      	0      	44.34314      	29.22334      	
11      	0      	28.6986      	16.519338      	
11      	0      	14.663409518      	29.6284      	
11      	0      	19.91924      	33.752346      	
11      	0      	26.9882      	26.594662      	
11      	0      	29.20874      	0.929032      	
11      	0      	18.584442      	23.2806068      	
11      	0      	24.32141      	4.955036      	
11      	0      	28.9728484      	10.403596      	
11      	0      	11.520368      	24.5928432      	
11      	0      	46.6752      	10.736918      	
11      	0      	14.526542      	22.042906      	
11      	0      	13.264942      	12.2591822      	
11      	0      	12.5039956      	37.471742      	
13      	0      	8.716088      	11.7949924      	
13      	0      	18.9349108      	18.806962      	
13      	0      	17.135242      	31.61306      	
13      	0      	82.7505      	55.31814      	
13      	0      	21.632654      	17.721272      	
13      	0      	19.27062      	11.26003482      	
13      	0      	23.141346      	2.7778064      	
13      	0      	15.353404      	29.78341696      	
13      	0      	13.404252      	10.410426      	
13      	0      	21.614684      	18.205314      	
13      	0      	34.846788      	6.983418      	
13      	0      	7.24502      	9.998728      	
13      	0      	22.19414      	33.3676      	
13      	0      	18.964758      	28.119436      	
13      	0      	24.202524      	21.466474      	
13      	0      	22.53168      	15.772228      	
13      	0      	20.68132      	13.38102      	
13      	0      	21.535742      	23.445202      	
13      	0      	14.60886      	17.93213085      	
13      	0      	17.225918      	22.063658      	
