X      	Y      	ndn-with-cache-no-mob-pollution      	ndn-with-cache-with-mob-v2v-pollution      	
3      	140      	63.45888      	16.973208      	
3      	140      	17.719908      	25.7936476      	
3      	140      	28.221924      	61.5991458      	
3      	140      	26.16799      	9.4515504      	
3      	140      	15.40960652      	41.467394      	
3      	140      	29.5391336      	57.45012      	
3      	140      	38.28358      	23.9821646      	
3      	140      	40.157236      	22.357856      	
3      	140      	27.74423      	42.06373352      	
3      	140      	44.317478      	18.613852      	
3      	140      	26.670695      	8.363554756      	
3      	140      	51.297648      	73.13122      	
3      	140      	35.294592      	8.401891242      	
3      	140      	12.6849348      	87.20034      	
3      	140      	14.873242      	34.4678324      	
3      	140      	17.653314      	63.5904      	
3      	140      	26.337434      	60.9093      	
3      	140      	41.256522      	74.76448      	
3      	140      	13.814784      	71.01818      	
3      	140      	41.6266      	73.89646      	
3      	120      	35.65846      	24.964954      	
3      	120      	44.49193      	68.18554      	
3      	120      	24.734866      	21.75838      	
3      	120      	60.28594      	33.138115      	
3      	120      	13.6563072      	14.925064      	
3      	120      	18.9805234      	32.24752581      	
3      	120      	56.7797      	9.7238848      	
3      	120      	17.23468      	3.2025486      	
3      	120      	10.60739      	12.213518      	
3      	120      	15.525638      	14.254591646      	
3      	120      	13.6942614      	4.0926892      	
3      	120      	38.673818      	30.9292394      	
3      	120      	63.41014      	10.0437402      	
3      	120      	25.025864      	28.353358      	
3      	120      	11.696082      	25.107474      	
3      	120      	19.6511122      	54.92751      	
3      	120      	16.594338      	14.555268      	
3      	120      	26.431922      	38.285312      	
3      	120      	30.423298      	30.53468      	
3      	120      	56.79208      	27.293084198      	
3      	100      	32.660466      	33.619486      	
3      	100      	39.02476      	59.86242      	
3      	100      	24.621992      	30.84824      	
3      	100      	43.231528      	20.87799      	
3      	100      	14.75339      	27.173536      	
3      	100      	22.637878      	14.182888      	
3      	100      	50.078252      	8.587998      	
3      	100      	13.37439      	17.31062      	
3      	100      	58.40786      	24.322602      	
3      	100      	24.38124      	9.83221474      	
3      	100      	28.666402      	50.985396      	
3      	100      	2.3104155      	78.8089      	
3      	100      	29.224542      	11.663398164      	
3      	100      	35.95618      	34.5763526      	
3      	100      	25.051742      	21.1569102      	
3      	100      	15.3838      	17.052936      	
3      	100      	22.536938      	33.35358      	
3      	100      	27.0576522      	18.036366      	
3      	100      	10.773471898      	12.09452      	
3      	100      	5.045066      	40.6829      	
3      	80      	19.372804      	55.30966      	
3      	80      	21.612704      	7.1267802      	
3      	80      	12.653524      	31.8208654      	
3      	80      	33.967118      	24.737224      	
3      	80      	27.00286      	30.703958      	
3      	80      	22.840406      	33.83806      	
3      	80      	28.089858      	13.30420389      	
3      	80      	17.083452      	36.575508      	
3      	80      	40.373862      	52.24062      	
3      	80      	36.41998      	19.8725608      	
3      	80      	16.21088364      	21.032722      	
3      	80      	30.023798      	30.27866      	
3      	80      	15.11843396      	31.03218      	
3      	80      	24.942532      	21.8543448      	
3      	80      	18.509078      	12.5541464      	
3      	80      	24.08224      	22.312924      	
3      	80      	52.6443      	22.50139      	
3      	80      	51.39418      	61.3478      	
3      	80      	29.149636      	36.3795      	
3      	80      	27.8157      	40.77816      	
3      	60      	29.182108      	6.624667      	
3      	60      	5.241912      	22.293768      	
3      	60      	6.8666701      	1.5546156      	
3      	60      	6.1530134      	9.6430708      	
3      	60      	19.662248      	20.707864      	
3      	60      	1.783741338      	1.2627172      	
3      	60      	34.18552      	3.674149694      	
3      	60      	15.4315158      	20.22322      	
3      	60      	11.711882      	22.1227192      	
3      	60      	7.4857716      	14.702571466      	
3      	60      	14.914086      	48.1761      	
3      	60      	1.6726262      	7.53516      	
3      	60      	23.157208      	17.5119774      	
3      	60      	12.5952862      	12.0108288      	
3      	60      	11.2503112      	3.01784876      	
3      	60      	17.252052      	24.98582      	
3      	60      	14.722438      	20.0290772      	
3      	60      	10.6765142      	0.4122658      	
3      	60      	15.523724      	17.991769946      	
3      	60      	12.1555456      	47.8628      	
3      	40      	21.273278      	38.401536      	
3      	40      	17.983494      	18.15453      	
3      	40      	15.6818151738      	6.774037358      	
3      	40      	18.333038      	22.789318      	
3      	40      	13.166204      	27.17162      	
3      	40      	20.492892      	5.941689      	
3      	40      	9.127066      	22.9419496      	
3      	40      	17.057934      	7.3194706      	
3      	40      	12.651324      	23.915492      	
3      	40      	19.991552      	11.870962      	
3      	40      	19.851888      	2.123713446      	
3      	40      	16.853092      	14.9169012      	
3      	40      	14.86708      	15.0632114      	
3      	40      	16.739916      	18.096364      	
3      	40      	17.116942      	14.279112      	
3      	40      	21.82155      	29.63082      	
3      	40      	45.251288      	16.388214      	
3      	40      	12.14170212      	28.5971212      	
3      	40      	7.343872      	6.433728      	
3      	40      	24.92415      	11.9246236      	
