X      	Y      	ndn-with-cache-with-mob-v2v-pollution      	ndn-with-cache-no-mob-pollution      	
3      	0      	15.428956144      	0.51709094      	
3      	0      	7.8642698      	2.821786326      	
3      	0      	18.9767786      	0.407793      	
3      	0      	6.4295574      	0.5001723      	
3      	0      	3.3076708      	4.26461144      	
3      	0      	0.6810948      	29.09090904      	
3      	0      	3.574084      	6.7655244      	
3      	0      	0.6270892      	1.6082212      	
3      	0      	0.5036788      	0.780306232      	
3      	0      	4.6572764      	0.5267942      	
3      	0      	19.37084      	1.1816854      	
3      	0      	9.89129      	0.043929434      	
3      	0      	2.681094      	5.564026      	
3      	0      	16.9960444      	6.8972624      	
3      	0      	0.452401      	12.2668178      	
3      	0      	2.335372      	0.4337894      	
3      	0      	7.130798      	0.79996428      	
3      	0      	3.39764568      	0.93955958      	
3      	0      	3.8637606      	1.1152274      	
3      	0      	3.6176218      	2.42168595      	
5      	0      	19.759698      	15.22962534      	
5      	0      	17.273026      	1.4435454      	
5      	0      	5.556912      	2.921300242      	
5      	0      	1.3995548      	4.091314      	
5      	0      	44.357716564      	25.85704      	
5      	0      	7.095565      	3.7657764      	
5      	0      	8.9047026      	0.3699042      	
5      	0      	9.5372912      	5.33982726      	
5      	0      	0.7144749      	15.0088476      	
5      	0      	22.335412      	1.3075245      	
5      	0      	1.483211      	1.532636      	
5      	0      	7.079063048      	4.2522894      	
5      	0      	7.829812      	1.5091898      	
5      	0      	3.00921632      	4.2409954      	
5      	0      	0.1892124      	0.6955002      	
5      	0      	5.020170156      	1.55153376      	
5      	0      	0.975669      	1.426869      	
5      	0      	9.52196      	2.0550008      	
5      	0      	9.5438066      	0.5124896      	
5      	0      	0.6459884      	0.6510082      	
7      	0      	7.417418      	22.98225883      	
7      	0      	4.9212648      	3.8637236      	
7      	0      	3.471536      	2.3499588      	
7      	0      	7.5688172      	2.7668404      	
7      	0      	10.410374      	12.5520596      	
7      	0      	12.78979      	1.662733572      	
7      	0      	11.09333      	2.5530324      	
7      	0      	16.13304069      	7.1382814      	
7      	0      	17.3365044      	13.607349426      	
7      	0      	0.973092      	11.0466398      	
7      	0      	15.8415156      	3.6391428      	
7      	0      	7.694716      	0.5486902      	
7      	0      	11.985368      	19.584882      	
7      	0      	15.856652      	2.2171184      	
7      	0      	23.3626276      	4.57002014      	
7      	0      	12.8680408      	15.7347892      	
7      	0      	8.533874      	15.575666      	
7      	0      	13.1744532      	1.050139      	
7      	0      	0.5722564      	1.605722      	
7      	0      	16.570528      	8.9690602      	
9      	0      	5.180364      	7.0018008      	
9      	0      	6.25985898      	1.7457894      	
9      	0      	12.09531      	16.7300008      	
9      	0      	9.370594      	21.2719938      	
9      	0      	1.104703432      	17.308392      	
9      	0      	24.638734      	16.3885386      	
9      	0      	2.456081      	12.3338008      	
9      	0      	31.70764      	1.5978214      	
9      	0      	3.434536      	11.788658      	
9      	0      	24.92652      	4.4235876      	
9      	0      	5.845824      	3.065064      	
9      	0      	31.92792      	7.4217252      	
9      	0      	14.90559      	6.150512      	
9      	0      	8.0460892      	1.29402982      	
9      	0      	5.8251124      	2.0625198      	
9      	0      	28.989328      	1.002576258      	
9      	0      	10.542224      	4.6283358      	
9      	0      	7.0617818      	2.0146384      	
9      	0      	8.982934      	0.6978044      	
9      	0      	10.6013452      	2.394308      	
11      	0      	17.707632      	8.473166      	
11      	0      	19.3265182      	2.1911906      	
11      	0      	17.957984      	11.531062      	
11      	0      	30.3009972      	3.101474      	
11      	0      	2.8260244      	7.2480036      	
11      	0      	12.739348      	12.713432      	
11      	0      	4.3179068      	1.466772      	
11      	0      	32.84568      	8.904656      	
11      	0      	5.4473978      	0.5876618      	
11      	0      	0.9599141      	1.9147202      	
11      	0      	7.938475      	12.427542      	
11      	0      	15.24016      	2.9594192      	
11      	0      	19.44364      	17.327386      	
11      	0      	20.639544      	1.3488294      	
11      	0      	24.245338      	4.796778      	
11      	0      	17.76925      	8.5028462      	
11      	0      	1.4377724      	0.5478694      	
11      	0      	20.255714      	27.9698358      	
11      	0      	29.17548      	5.7871928      	
11      	0      	11.1261666      	8.1576044      	
13      	0      	9.360226      	7.1885322      	
13      	0      	16.134414      	93.20828      	
13      	0      	24.3742354      	3.752732      	
13      	0      	26.909872      	16.821352      	
13      	0      	15.591878      	4.9787138      	
13      	0      	6.831028      	2.1060298      	
13      	0      	27.65026      	5.6213952      	
13      	0      	22.192728      	2.109828      	
13      	0      	2.81361144      	7.1201824      	
13      	0      	18.563664      	21.44756      	
13      	0      	26.31765      	6.3112248      	
13      	0      	9.41932594      	11.790946      	
13      	0      	4.3716982      	6.78777728      	
13      	0      	4.82281426      	2.9393616      	
13      	0      	19.955676      	1.129592      	
13      	0      	20.08332408      	9.9611566      	
13      	0      	8.727572      	6.629216      	
13      	0      	22.8958      	1.568263      	
13      	0      	14.748490558      	1.2792678      	
13      	0      	9.56079406      	8.0158014      	
