X      	Y      	ndn-with-cache-with-mob-v2v-pollution      	ndn-with-cache-no-mob-pollution      	
3      	200      	34.17674      	42.5509      	
3      	200      	16.83105108      	30.2958      	
3      	200      	78.93644      	16.112854      	
3      	200      	36.318459868      	43.50637      	
3      	200      	19.054678      	22.806824      	
3      	200      	38.66294      	14.0612732      	
3      	200      	35.65702      	39.2378      	
3      	200      	65.0864292      	30.745848      	
3      	200      	26.774815108      	58.1933      	
3      	200      	30.41024      	26.79984      	
3      	200      	55.50396      	35.44986      	
3      	200      	23.82707964      	15.9884642      	
3      	200      	34.93586      	54.438276      	
3      	200      	43.95786      	33.3141698      	
3      	200      	18.27938      	27.667588      	
3      	200      	34.084458      	35.98452      	
3      	200      	29.606206      	49.86122      	
3      	200      	33.37982      	35.321278      	
3      	200      	61.255354      	39.65168      	
3      	200      	49.5028      	56.26616      	
3      	200      	38.82154      	41.3179      	
3      	200      	31.71872      	33.65358      	
3      	200      	17.956696      	19.257626      	
3      	200      	41.0109      	12.1440876      	
3      	200      	33.6601078      	37.0952686      	
3      	200      	37.17254      	35.24186      	
3      	200      	35.372056      	29.81452      	
3      	200      	48.86856      	34.92574      	
3      	200      	25.458378      	36.408716      	
3      	200      	38.12936      	56.92572      	
3      	50      	6.871692      	19.47906      	
3      	50      	17.9041068      	3.20108516      	
3      	50      	15.7550998      	9.864464      	
3      	50      	1.934984      	0.9039542      	
3      	50      	3.5050722      	7.51096      	
3      	50      	14.664004      	0.6288616      	
3      	50      	15.166314      	17.9237      	
3      	50      	0.6428061252      	3.7811668      	
3      	50      	1.8182428      	0.4366974      	
3      	50      	4.483866      	10.140878696      	
3      	50      	6.42159842      	13.0785274      	
3      	50      	30.81194      	0.4353116      	
3      	50      	9.946636244      	0.6468132      	
3      	50      	6.8735122      	0.5435406      	
3      	50      	4.9697916      	2.59717432      	
3      	50      	15.674454      	0.8056358      	
3      	50      	8.324358      	0.8764214      	
3      	50      	10.382328      	8.5878764      	
3      	50      	4.9655554      	8.9620732      	
3      	50      	4.6573524      	4.0517864      	
3      	50      	3.6441306      	1.2445744      	
3      	50      	2.3224437      	2.76887      	
3      	50      	25.14804      	8.9679      	
3      	50      	3.7846276      	4.074218      	
3      	50      	0.35928804      	9.438658      	
3      	50      	7.66978      	1.5159174      	
3      	50      	8.1622636      	18.1224024      	
3      	50      	11.8916926      	0.8629922      	
3      	50      	1.5657412      	19.2427538      	
3      	50      	4.653805      	2.2438072      	
3      	100      	7.582889      	37.07178      	
3      	100      	13.37696      	4.1946906      	
3      	100      	21.48917      	18.98528      	
3      	100      	12.6538308      	21.42718      	
3      	100      	37.83742      	31.191856      	
3      	100      	19.772924      	15.620318      	
3      	100      	29.044648      	9.962892      	
3      	100      	14.233096      	18.809938      	
3      	100      	20.92048      	28.52616      	
3      	100      	13.56753272      	15.504333      	
3      	100      	24.88866      	36.907438      	
3      	100      	5.2295069      	3.6467612      	
3      	100      	12.205748      	4.2261446      	
3      	100      	22.5684278      	16.0646832      	
3      	100      	27.41341      	7.7623122      	
3      	100      	6.3812558      	4.5649804      	
3      	100      	21.988488      	18.5121624      	
3      	100      	39.253148      	14.9088428      	
3      	100      	17.248712      	24.818616      	
3      	100      	23.206584      	7.70611056      	
3      	100      	14.88286      	29.799738      	
3      	100      	27.98044      	19.0695      	
3      	100      	17.6189692      	25.6471486      	
3      	100      	49.348354      	31.128672      	
3      	100      	6.242634      	22.174486      	
3      	100      	16.3010212      	26.112366      	
3      	100      	13.5155475      	12.828804      	
3      	100      	4.8079512      	17.207874      	
3      	100      	31.12924      	22.6147634      	
3      	100      	11.0230274      	1.640798      	
3      	400      	63.21402      	49.182852      	
3      	400      	56.45616      	28.502686      	
3      	400      	31.25112      	75.142114      	
3      	400      	78.21324      	43.61638      	
3      	400      	54.379822      	50.977204      	
3      	400      	70.32664      	58.550754      	
3      	400      	39.170353304      	38.862206      	
3      	400      	64.52988      	72.52836      	
3      	400      	75.33264      	27.3975898      	
3      	400      	58.598186      	76.03158      	
3      	400      	23.910794      	87.89228      	
3      	400      	71.378268      	78.39682      	
3      	400      	44.62948      	54.96384      	
3      	400      	39.6771674      	57.401132      	
3      	400      	76.66574      	11.256344      	
3      	400      	44.08622      	48.377277196      	
3      	400      	77.94036      	53.40918      	
3      	400      	59.75222      	78.28014      	
3      	400      	45.8899      	29.893036      	
3      	400      	50.5359856      	60.880238      	
3      	400      	23.065536      	71.0078      	
3      	400      	69.41806      	88.41218      	
3      	400      	80.7457      	73.0267      	
3      	400      	56.828956      	50.143      	
3      	400      	30.10351763      	30.066044      	
3      	400      	57.43712      	71.43798      	
3      	400      	78.36444      	66.78092      	
3      	400      	40.94406      	58.199482      	
3      	400      	69.1957642      	38.98354      	
3      	400      	62.67298      	28.562938      	
3      	150      	16.3993022      	18.294642      	
3      	150      	46.26414      	24.92283      	
3      	150      	24.6248      	19.842676      	
3      	150      	29.7437638      	27.279066      	
3      	150      	21.4667484      	35.0750474      	
3      	150      	29.488116      	29.492708      	
3      	150      	3.289798      	16.510704      	
3      	150      	13.304836      	22.2404      	
3      	150      	34.5702      	30.940256      	
3      	150      	24.24812      	25.52448      	
3      	150      	16.6189562      	17.73473      	
3      	150      	30.227694      	22.7546304      	
3      	150      	40.668708      	24.275614      	
3      	150      	30.4513      	18.34243      	
3      	150      	59.7194      	40.54646      	
3      	150      	35.45394      	22.189534      	
3      	150      	31.9308      	22.051162      	
3      	150      	15.9997376      	30.30068      	
3      	150      	27.09205      	5.365378      	
3      	150      	13.2078238      	29.3909      	
3      	150      	28.29759      	32.940628      	
3      	150      	16.585938      	18.626226      	
3      	150      	23.89486      	35.36292      	
3      	150      	46.9322      	30.39312      	
3      	150      	20.774444      	40.578298      	
3      	150      	15.585172      	13.249812      	
3      	150      	28.164624      	11.407634      	
3      	150      	50.6051      	24.619204      	
3      	150      	26.145024      	25.2886766      	
3      	150      	18.76849      	5.659161      	
3      	300      	79.67906      	51.372332      	
3      	300      	41.376496      	72.92602      	
3      	300      	64.4915      	31.183328      	
3      	300      	43.72633      	43.135188      	
3      	300      	63.311761202      	50.11538      	
3      	300      	45.3565      	49.61436      	
3      	300      	35.212951338      	41.146088      	
3      	300      	67.1748      	41.477836      	
3      	300      	49.57948      	43.161444      	
3      	300      	70.333718      	27.57006      	
3      	300      	40.7154      	81.03766      	
3      	300      	55.28408      	52.57157752      	
3      	300      	35.702692      	83.3887      	
3      	300      	57.23354      	70.38956      	
3      	300      	34.482812      	52.62662      	
3      	300      	68.83998      	45.7002542      	
3      	300      	29.152      	62.62452      	
3      	300      	61.90766      	51.86302      	
3      	300      	54.30094      	53.5959      	
3      	300      	76.1635      	24.266018696      	
3      	300      	68.165      	45.5601      	
3      	300      	55.48222      	50.56385      	
3      	300      	55.1648      	55.35736      	
3      	300      	20.3711614      	47.391042      	
3      	300      	62.360136      	58.95546      	
3      	300      	48.51956      	45.24884      	
3      	300      	45.88224      	56.99486      	
3      	300      	43.02731      	46.564746      	
3      	300      	29.10086      	61.39376      	
3      	300      	78.35274      	55.95224      	
3      	600      	89.46974      	84.83726      	
3      	600      	66.06602      	48.984658      	
3      	600      	44.38687      	78.07312      	
3      	600      	63.9671426      	60.9599      	
3      	600      	66.0131484814      	50.93186      	
3      	600      	92.83706      	41.635042      	
3      	600      	77.05086      	49.913714      	
3      	600      	77.74386      	52.55402      	
3      	600      	69.04192      	31.874248      	
3      	600      	47.4005      	50.9340326      	
3      	600      	44.75892      	31.646196      	
3      	600      	66.34956      	34.860816      	
3      	600      	68.58382      	52.5540006      	
3      	600      	66.93556      	69.22178      	
3      	600      	55.63972      	50.906382      	
3      	600      	48.01662      	50.93917      	
3      	600      	40.576038      	38.366872      	
3      	600      	53.558028      	42.9414      	
3      	600      	43.65732      	59.74762      	
3      	600      	64.8697      	30.9788794      	
3      	600      	82.70498      	69.0805      	
3      	600      	82.43922      	40.629536      	
3      	600      	70.77804      	81.49738      	
3      	600      	56.37228      	78.60634      	
3      	600      	92.22086      	50.17602      	
3      	600      	62.27372      	58.658394      	
3      	600      	70.47862      	57.15972      	
3      	600      	46.56462127      	47.06038      	
3      	600      	65.58768      	45.05898      	
3      	600      	36.085586      	49.13602      	
