Time	Node	Event	SeqNo
0	2	Incoming interest	0
0	3	Incoming interest	0
0	3	Incoming interest	0
0	6	Incoming interest	0
0	9	Incoming interest	0
0	10	Incoming interest	0
0	12	Incoming interest	0
0	15	Incoming interest	0
3.4e-05	2	Broadcasting	
7.8008e-05	18	Incoming interest	0
7.801e-05	22	Incoming interest	0
7.8012e-05	21	Incoming interest	0
7.8016e-05	4	Incoming interest	0
7.8016e-05	24	Incoming interest	0
7.8025e-05	42	Incoming interest	0
7.8028e-05	30	Incoming interest	0
7.803e-05	15	Incoming interest	0
7.803e-05	36	Incoming interest	0
7.803e-05	41	Incoming interest	0
7.8032e-05	6	Incoming interest	0
7.804e-05	26	Incoming interest	0
7.804e-05	35	Incoming interest	0
7.8041e-05	7	Incoming interest	0
7.8041e-05	45	Incoming interest	0
7.8042e-05	25	Incoming interest	0
7.8043e-05	49	Incoming interest	0
7.8045e-05	16	Incoming interest	0
7.8046e-05	27	Incoming interest	0
7.8048e-05	28	Incoming interest	0
7.805e-05	33	Incoming interest	0
7.8051e-05	31	Incoming interest	0
7.8058e-05	37	Incoming interest	0
7.806e-05	20	Incoming interest	0
7.8061e-05	5	Incoming interest	0
7.8064e-05	17	Incoming interest	0
7.8065e-05	43	Incoming interest	0
7.8066e-05	13	Incoming interest	0
7.8068e-05	47	Incoming interest	0
7.8084e-05	39	Incoming interest	0
7.8086e-05	38	Incoming interest	0
7.8093e-05	46	Incoming interest	0
7.8094e-05	40	Incoming interest	0
7.8095e-05	29	Incoming interest	0
7.8098e-05	48	Incoming interest	0
7.8099e-05	23	Incoming interest	0
7.8103e-05	10	Incoming interest	0
7.8104e-05	32	Incoming interest	0
7.8107e-05	44	Incoming interest	0
7.8109e-05	1	Incoming interest	0
7.8109e-05	11	Incoming interest	0
7.811e-05	34	Incoming interest	0
7.8111e-05	12	Incoming interest	0
7.8117e-05	9	Incoming interest	0
7.8119e-05	8	Incoming interest	0
7.8121e-05	0	Incoming interest	0
7.8121e-05	0	DataCached	0
7.8123e-05	3	Incoming interest	0
7.8125e-05	14	Incoming interest	0
7.8128e-05	19	Incoming interest	0
0.00013903	15	Broadcasting	
0.000183032	41	Incoming interest	0
0.000183046	35	Incoming interest	0
0.000183047	45	Incoming interest	0
0.000183048	28	Incoming interest	0
0.00018305	26	Incoming interest	0
0.000183051	22	Incoming interest	0
0.000183052	30	Incoming interest	0
0.000183055	18	Incoming interest	0
0.000183055	21	Incoming interest	0
0.000183058	16	Incoming interest	0
0.000183058	42	Incoming interest	0
0.000183058	49	Incoming interest	0
0.000183059	4	Incoming interest	0
0.00018306	2	Incoming interest	0
0.000183064	27	Incoming interest	0
0.000183067	25	Incoming interest	0
0.000183075	24	Incoming interest	0
0.000183081	5	Incoming interest	0
0.000183085	33	Incoming interest	0
0.000183086	36	Incoming interest	0
0.000183089	6	Incoming interest	0
0.000183092	7	Incoming interest	0
0.000183093	37	Incoming interest	0
0.000183095	20	Incoming interest	0
0.0001831	46	Incoming interest	0
0.000183102	13	Incoming interest	0
0.000183107	31	Incoming interest	0
0.000183108	29	Incoming interest	0
0.000183109	47	Incoming interest	0
0.00018311	32	Incoming interest	0
0.000183113	48	Incoming interest	0
0.000183114	11	Incoming interest	0
0.000183115	10	Incoming interest	0
0.000183115	43	Incoming interest	0
0.000183116	1	Incoming interest	0
0.000183116	1	DataCached	0
0.00018312	17	Incoming interest	0
0.00018312	38	Incoming interest	0
0.000183126	23	Incoming interest	0
0.000183127	39	Incoming interest	0
0.000183129	8	Incoming interest	0
0.000183135	14	Incoming interest	0
0.00018314	9	Incoming interest	0
0.000183146	44	Incoming interest	0
0.000183147	12	Incoming interest	0
0.000183148	0	Incoming interest	0
0.000183158	3	Incoming interest	0
0.000183158	19	Incoming interest	0
0.000217115	43	Broadcasting	
0.000261152	6	Incoming interest	0
0.000261176	12	Incoming interest	0
0.00026118	2	Incoming interest	0
0.000261188	3	Incoming interest	0
0.000261204	0	Incoming interest	0
0.000261208	9	Incoming interest	0
0.000304152	6	Broadcasting	
0.000304245	11	Broadcasting	
0.000348156	36	Incoming interest	0
0.000348169	24	Incoming interest	0
0.000348171	31	Incoming interest	0
0.000348194	22	Incoming interest	0
0.000451263	10	Broadcasting	
0.000495288	1	Incoming interest	0
0.000495315	34	Incoming interest	0
0.000495348	15	Incoming interest	0
0.00049535	3	Incoming interest	0
0.000495356	40	Incoming interest	0
0.000538292	32	Broadcasting	
0.000582299	1	Incoming interest	0
0.000582347	5	Incoming interest	0
0.000582351	16	Incoming interest	0
0.000582353	27	Incoming interest	0
0.000582354	49	Incoming interest	0
0.000582356	28	Incoming interest	0
0.000582356	45	Incoming interest	0
0.000582362	25	Incoming interest	0
0.000582363	9	Incoming interest	0
0.000582371	41	Incoming interest	0
0.000582372	15	Incoming interest	0
0.000582374	33	Incoming interest	0
0.000582374	42	Incoming interest	0
0.000582375	37	Incoming interest	0
0.000582376	20	Incoming interest	0
0.000582378	0	Incoming interest	0
0.000582379	35	Incoming interest	0
0.000582384	26	Incoming interest	0
0.000582385	21	Incoming interest	0
0.000582388	18	Incoming interest	0
0.000582393	30	Incoming interest	0
0.000582396	2	Incoming interest	0
0.000582401	4	Incoming interest	0
0.000582403	12	Incoming interest	0
0.000582404	7	Incoming interest	0
0.000582408	3	Incoming interest	0
0.000582412	6	Incoming interest	0
0.000582432	17	Incoming interest	0
0.000625374	33	Broadcasting	
0.000625409	44	Broadcasting	
0.000669382	37	Incoming interest	0
0.000669384	20	Incoming interest	0
0.000669419	12	Incoming interest	0
0.000669422	24	Incoming interest	0
0.000669424	40	Incoming interest	0
0.000669429	3	Incoming interest	0
0.000669445	46	Incoming interest	0
0.000669449	26	Incoming interest	0
0.000721459	20	Broadcasting	
0.000765461	37	Incoming interest	0
0.000765465	13	Incoming interest	0
0.000765469	33	Incoming interest	0
0.000765475	47	Incoming interest	0
0.000765484	38	Incoming interest	0
0.000765488	25	Incoming interest	0
0.00076549	5	Incoming interest	0
0.000765493	39	Incoming interest	0
0.000765495	7	Incoming interest	0
0.000765496	27	Incoming interest	0
0.000765498	42	Incoming interest	0
0.000765498	43	Incoming interest	0
0.000765499	23	Incoming interest	0
0.0007655	40	Incoming interest	0
0.000765501	49	Incoming interest	0
0.000765504	16	Incoming interest	0
0.000765506	36	Incoming interest	0
0.000765509	21	Incoming interest	0
0.00076551	6	Incoming interest	0
0.000765511	12	Incoming interest	0
0.000765513	18	Incoming interest	0
0.000765513	31	Incoming interest	0
0.000765515	45	Incoming interest	0
0.000765516	24	Incoming interest	0
0.000765518	17	Incoming interest	0
0.000765518	29	Incoming interest	0
0.000765518	48	Incoming interest	0
0.000765519	2	Incoming interest	0
0.00076552	9	Incoming interest	0
0.000765522	0	Incoming interest	0
0.000765522	3	Incoming interest	0
0.000765524	15	Incoming interest	0
0.000765524	22	Incoming interest	0
0.000765524	41	Incoming interest	0
0.000765525	10	Incoming interest	0
0.00076553	28	Incoming interest	0
0.000765533	46	Incoming interest	0
0.000765535	4	Incoming interest	0
0.00076554	30	Incoming interest	0
0.000765541	35	Incoming interest	0
0.000765543	32	Incoming interest	0
0.000765544	1	Incoming interest	0
0.000765545	26	Incoming interest	0
0.000808513	31	Broadcasting	
0.000852525	17	Incoming interest	0
0.000852532	6	Incoming interest	0
0.000852532	7	Incoming interest	0
0.000852538	43	Incoming interest	0
0.000852549	24	Incoming interest	0
0.000852559	47	Incoming interest	0
0.000852564	2	Incoming interest	0
0.000852564	33	Incoming interest	0
0.000852565	21	Incoming interest	0
0.000852565	39	Incoming interest	0
0.000852566	18	Incoming interest	0
0.000852566	37	Incoming interest	0
0.000852567	20	Incoming interest	0
0.000852567	42	Incoming interest	0
0.000852568	13	Incoming interest	0
0.000852574	22	Incoming interest	0
0.000852575	25	Incoming interest	0
0.000852579	4	Incoming interest	0
0.000852583	38	Incoming interest	0
0.000852585	27	Incoming interest	0
0.000852586	49	Incoming interest	0
0.00085259	5	Incoming interest	0
0.00085259	15	Incoming interest	0
0.00085259	16	Incoming interest	0
0.00085259	41	Incoming interest	0
0.000852591	44	Incoming interest	0
0.000852592	30	Incoming interest	0
0.000852593	45	Incoming interest	0
0.000852599	12	Incoming interest	0
0.000852603	35	Incoming interest	0
0.000852604	26	Incoming interest	0
0.000852605	23	Incoming interest	0
0.000852606	28	Incoming interest	0
0.000852611	3	Incoming interest	0
0.000852624	29	Incoming interest	0
0.000852625	0	Incoming interest	0
0.000852625	19	Incoming interest	0
0.000852625	48	Incoming interest	0
0.000852627	9	Incoming interest	0
0.000852631	10	Incoming interest	0
0.000852633	46	Incoming interest	0
0.000852644	32	Incoming interest	0
0.000852647	1	Incoming interest	0
0.00085265	8	Incoming interest	0
0.000852651	11	Incoming interest	0
0.000852655	14	Incoming interest	0
0.000895599	12	Broadcasting	
0.000895605	23	Broadcasting	
0.000895606	28	Broadcasting	
0.000895611	3	Broadcasting	
0.000895625	19	Broadcasting	
0.000895655	14	Broadcasting	
0.00104265	21	Broadcasting	
0.00108665	18	Incoming interest	0
0.00108666	2	Incoming interest	0
0.00108666	42	Incoming interest	0
0.00108666	22	Incoming interest	0
0.00108667	24	Incoming interest	0
0.00108667	15	Incoming interest	0
0.00108667	41	Incoming interest	0
0.00108667	4	Incoming interest	0
0.00108668	25	Incoming interest	0
0.00108668	36	Incoming interest	0
0.00108668	45	Incoming interest	0
0.00108668	49	Incoming interest	0
0.00108668	30	Incoming interest	0
0.00108668	16	Incoming interest	0
0.00108668	6	Incoming interest	0
0.00108668	27	Incoming interest	0
0.00108668	7	Incoming interest	0
0.00108669	35	Incoming interest	0
0.00108669	26	Incoming interest	0
0.00108669	33	Incoming interest	0
0.00108669	28	Incoming interest	0
0.00108669	5	Incoming interest	0
0.00108669	37	Incoming interest	0
0.0010867	20	Incoming interest	0
0.0010867	31	Incoming interest	0
0.0010867	13	Incoming interest	0
0.00108671	47	Incoming interest	0
0.00108671	43	Incoming interest	0
0.00108671	17	Incoming interest	0
0.00108672	38	Incoming interest	0
