Time	Node	Event	SeqNo
0	2	Incoming interest	0
3.4e-05	2	Broadcasting	
7.8109e-05	1	Incoming interest	0
7.8121e-05	0	Incoming interest	0
7.8121e-05	0	DataCached	0
0.00070488	0	Broadcasting	
0.00109296	1	DataCached	0
0.001093	2	DataCached	0
0.00133164	0	Broadcasting	
0.00189934	1	Broadcasting	
0.00194343	0	Incoming interest	0
0.00194345	2	Incoming interest	0
0.00585481	2	Broadcasting	
0.0565137	2	Broadcasting	
0.1	2	Incoming interest	1
0.1	2	Broadcasting	
0.100044	1	Incoming interest	1
0.100044	0	Incoming interest	1
0.100044	0	DataCached	1
0.101323	0	Broadcasting	
0.101711	1	DataCached	1
0.101712	2	DataCached	1
0.101781	1	Broadcasting	
0.101826	0	Incoming interest	1
0.101826	2	Incoming interest	1
0.102603	0	Broadcasting	
0.106713	2	Broadcasting	
0.108668	2	Broadcasting	
0.157796	2	Broadcasting	
0.2	2	Incoming interest	2
0.2	2	Broadcasting	
0.200044	1	Incoming interest	2
0.200044	0	Incoming interest	2
0.200044	0	DataCached	2
0.200419	0	Broadcasting	
0.200807	1	DataCached	2
0.200807	2	DataCached	2
0.200868	0	Broadcasting	
0.20129	1	Broadcasting	
0.201334	0	Incoming interest	2
0.201334	2	Incoming interest	2
0.2058	2	Broadcasting	
0.207182	2	Broadcasting	
0.257035	2	Broadcasting	
0.3	2	Incoming interest	3
0.3	2	Broadcasting	
0.300044	1	Incoming interest	3
0.300044	0	Incoming interest	3
0.300044	0	DataCached	3
0.300265	1	Broadcasting	
0.300309	0	Incoming interest	3
0.300309	2	Incoming interest	3
0.302028	0	Broadcasting	
0.302417	1	DataCached	3
0.302417	2	DataCached	3
0.304013	0	Broadcasting	
0.306754	2	Broadcasting	
0.307176	2	Broadcasting	
0.307176	1	Broadcasting	
0.357202	2	Broadcasting	
0.4	2	Incoming interest	4
0.4	2	Broadcasting	
0.400044	1	Incoming interest	4
0.400044	0	Incoming interest	4
0.400044	0	DataCached	4
0.401173	0	Broadcasting	
0.401561	1	DataCached	4
0.401561	2	DataCached	4
0.401876	1	Broadcasting	
0.40192	2	Incoming interest	4
0.402301	0	Broadcasting	
0.407223	2	Broadcasting	
0.40769	2	Broadcasting	
0.408148	1	Broadcasting	
0.458246	2	Broadcasting	
0.506808	2	Broadcasting	
0.557646	2	Broadcasting	
0.607428	2	Broadcasting	
0.656786	2	Broadcasting	
0.707028	2	Broadcasting	
0.757305	2	Broadcasting	
0.807203	2	Broadcasting	
0.858279	2	Broadcasting	
0.907312	2	Broadcasting	
0.956763	2	Broadcasting	
1.00743	2	Broadcasting	
1.05767	2	Broadcasting	
1.10818	2	Broadcasting	
1.15725	2	Broadcasting	
1.20771	2	Broadcasting	
1.25867	2	Broadcasting	
1.30811	2	Broadcasting	
1.35857	2	Broadcasting	
1.40832	2	Broadcasting	
1.45788	2	Broadcasting	
1.50819	2	Broadcasting	
1.55727	2	Broadcasting	
1.60769	2	Broadcasting	
1.65803	2	Broadcasting	
1.70743	2	Broadcasting	
1.75785	2	Broadcasting	
