Time	Node	Event	SeqNo
0	2	Incoming interest	0
0	3	Incoming interest	0
0	5	Incoming interest	0
0	6	Incoming interest	0
0	9	Incoming interest	0
0	10	Incoming interest	0
0	12	Incoming interest	0
0	15	Incoming interest	0
3.4e-05	10	Broadcasting	
7.8033e-05	9	Incoming interest	0
7.8033e-05	11	Incoming interest	0
7.8066e-05	8	Incoming interest	0
7.8066e-05	12	Incoming interest	0
7.8099e-05	7	Incoming interest	0
7.8099e-05	13	Incoming interest	0
7.8133e-05	6	Incoming interest	0
7.8133e-05	14	Incoming interest	0
7.8166e-05	5	Incoming interest	0
7.8166e-05	15	Incoming interest	0
7.8199e-05	4	Incoming interest	0
7.8199e-05	16	Incoming interest	0
7.8233e-05	3	Incoming interest	0
7.8233e-05	17	Incoming interest	0
7.8266e-05	2	Incoming interest	0
7.8266e-05	18	Incoming interest	0
7.8299e-05	1	Incoming interest	0
7.8299e-05	1	DataCached	0
7.8299e-05	19	Incoming interest	0
7.8333e-05	0	Incoming interest	0
7.8333e-05	20	Incoming interest	0
7.8399e-05	22	Incoming interest	0
7.8466e-05	24	Incoming interest	0
7.8499e-05	25	Incoming interest	0
7.8533e-05	26	Incoming interest	0
0.000120621	0	Broadcasting	
0.000164654	1	Incoming interest	0
0.000164787	5	Incoming interest	0
0.000164954	10	Incoming interest	0
0.00016532	21	Incoming interest	0
0.000207687	2	Broadcasting	
0.00025172	1	Incoming interest	0
0.00025172	3	Incoming interest	0
0.000251753	0	Incoming interest	0
0.000251753	0	DataCached	0
0.000251753	4	Incoming interest	0
0.000251786	5	Incoming interest	0
0.00025182	6	Incoming interest	0
0.000251853	7	Incoming interest	0
0.000251886	8	Incoming interest	0
0.00025192	9	Incoming interest	0
0.000251953	10	Incoming interest	0
0.000252053	13	Incoming interest	0
0.000252086	14	Incoming interest	0
0.000252153	16	Incoming interest	0
0.000252186	17	Incoming interest	0
0.000252253	19	Incoming interest	0
0.000252286	20	Incoming interest	0
0.00029482	6	Broadcasting	
0.000338919	3	Incoming interest	0
0.000338919	9	Incoming interest	0
0.000338953	2	Incoming interest	0
0.000338986	11	Incoming interest	0
0.000339019	12	Incoming interest	0
0.000339119	15	Incoming interest	0
0.000339219	18	Incoming interest	0
0.000339319	21	Incoming interest	0
0.000339419	24	Incoming interest	0
0.000339453	25	Incoming interest	0
0.000339586	29	Incoming interest	0
0.000381919	9	Broadcasting	
0.000425952	8	Incoming interest	0
0.000425952	10	Incoming interest	0
0.000425985	7	Incoming interest	0
0.000426018	6	Incoming interest	0
0.000426018	12	Incoming interest	0
0.000426052	5	Incoming interest	0
0.000426052	13	Incoming interest	0
0.000426085	4	Incoming interest	0
0.000426118	3	Incoming interest	0
0.000426185	1	Incoming interest	0
0.000426185	17	Incoming interest	0
0.000426218	0	Incoming interest	0
0.000426285	20	Incoming interest	0
0.000426485	26	Incoming interest	0
0.000426618	30	Incoming interest	0
0.000469018	12	Broadcasting	
0.000513051	11	Incoming interest	0
0.000513084	14	Incoming interest	0
0.000513117	9	Incoming interest	0
0.000513117	15	Incoming interest	0
0.000513151	16	Incoming interest	0
0.000513217	6	Incoming interest	0
0.000513217	18	Incoming interest	0
0.000513251	19	Incoming interest	0
0.000513351	2	Incoming interest	0
0.000513351	22	Incoming interest	0
0.000513417	0	Incoming interest	0
0.000513551	28	Incoming interest	0
0.000513651	31	Incoming interest	0
0.000513684	32	Incoming interest	0
0.000592251	5	Broadcasting	
0.000636284	4	Incoming interest	0
0.000636284	6	Incoming interest	0
0.000636317	3	Incoming interest	0
0.000636317	7	Incoming interest	0
0.00063635	2	Incoming interest	0
0.000636384	1	Incoming interest	0
0.000636417	10	Incoming interest	0
0.000636517	13	Incoming interest	0
0.000636584	15	Incoming interest	0
0.000670944	11	Broadcasting	
0.000714977	10	Incoming interest	0
0.000714977	12	Incoming interest	0
0.00071501	13	Incoming interest	0
0.000715043	8	Incoming interest	0
0.000715143	5	Incoming interest	0
0.000715177	4	Incoming interest	0
0.00071521	3	Incoming interest	0
0.000715343	23	Incoming interest	0
0.000715677	33	Incoming interest	0
0.00075831	22	Broadcasting	
0.000802343	23	Incoming interest	0
0.000802409	19	Incoming interest	0
0.000802476	17	Incoming interest	0
0.000802476	27	Incoming interest	0
0.000802543	15	Incoming interest	0
0.000802543	29	Incoming interest	0
0.000802576	14	Incoming interest	0
0.000802576	30	Incoming interest	0
0.000802609	31	Incoming interest	0
0.000802676	11	Incoming interest	0
0.000802676	33	Incoming interest	0
0.000802709	34	Incoming interest	0
0.000802776	36	Incoming interest	0
0.000802843	38	Incoming interest	0
0.000802876	39	Incoming interest	0
0.000802909	40	Incoming interest	0
0.000802943	41	Incoming interest	0
0.000836609	13	Broadcasting	
0.000880642	12	Incoming interest	0
0.000880742	9	Incoming interest	0
0.000880842	6	Incoming interest	0
0.000880975	2	Incoming interest	0
0.000880975	24	Incoming interest	0
0.000881042	0	Incoming interest	0
0.000881142	29	Incoming interest	0
0.000924042	0	Broadcasting	
0.00131208	1	DataCached	0
0.00131211	2	DataCached	0
0.00131214	3	DataCached	0
0.00131218	4	DataCached	0
0.00131221	5	DataCached	0
0.00131224	6	DataCached	0
0.00131227	7	DataCached	0
0.00131231	8	DataCached	0
0.00131234	9	DataCached	0
0.00131237	10	DataCached	0
0.00131241	11	DataCached	0
0.00135507	1	Broadcasting	
0.00146068	19	Broadcasting	
0.00159337	40	Broadcasting	
0.00163744	42	Incoming interest	0
0.00163747	43	Incoming interest	0
0.00163751	44	Incoming interest	0
0.00163754	35	Incoming interest	0
0.00163754	45	Incoming interest	0
0.00163757	46	Incoming interest	0
0.00163761	47	Incoming interest	0
0.00163764	32	Incoming interest	0
0.00163767	49	Incoming interest	0
0.00168971	30	Broadcasting	
0.00173387	35	Incoming interest	0
0.00173391	36	Incoming interest	0
0.00173404	40	Incoming interest	0
0.00173411	18	Incoming interest	0
0.00173414	43	Incoming interest	0
0.00173417	44	Incoming interest	0
0.00173421	45	Incoming interest	0
0.00173424	46	Incoming interest	0
0.00173427	47	Incoming interest	0
0.00173434	49	Incoming interest	0
0.00174311	0	DataCached	0
0.00174311	2	DataCached	0
0.00174317	4	DataCached	0
0.00174321	5	DataCached	0
0.00180411	0	Broadcasting	
0.00183834	39	Broadcasting	
0.00188241	37	Incoming interest	0
0.00188244	36	Incoming interest	0
0.00188264	48	Incoming interest	0
0.00192554	33	Broadcasting	
0.00196974	39	Incoming interest	0
0.00196981	41	Incoming interest	0
0.00197004	48	Incoming interest	0
0.00202207	17	Broadcasting	
0.00212787	41	Broadcasting	
0.00217204	36	Incoming interest	0
0.00217207	35	Incoming interest	0
0.00222611	0	Broadcasting	
0.00231381	21	Broadcasting	
0.00235834	37	Incoming interest	0
0.00241894	25	Broadcasting	
0.00246307	21	Incoming interest	0
0.00246311	30	Incoming interest	0
0.00246317	18	Incoming interest	0
0.00246327	35	Incoming interest	0
0.00246334	37	Incoming interest	0
0.00246337	38	Incoming interest	0
0.00251524	34	Broadcasting	
0.00255927	35	Incoming interest	0
0.00255934	37	Incoming interest	0
0.00255937	30	Incoming interest	0
0.00255937	38	Incoming interest	0
0.00255977	18	Incoming interest	0
0.00264737	38	Broadcasting	
0.00264754	25	Broadcasting	
0.00269141	39	Incoming interest	0
0.0026916	27	Incoming interest	0
0.0026918	17	Incoming interest	0
0.0027438	17	Broadcasting	
0.0027879	20	Incoming interest	0
0.00278794	21	Incoming interest	0
0.00278797	12	Incoming interest	0
0.002788	11	Incoming interest	0
0.002788	23	Incoming interest	0
0.00278804	24	Incoming interest	0
0.00278807	9	Incoming interest	0
0.00278814	7	Incoming interest	0
0.00278817	6	Incoming interest	0
0.00278837	0	Incoming interest	0
0.00278837	34	Incoming interest	0
0.0028309	20	Broadcasting	
0.00283107	9	Broadcasting	
0.0028751	8	Incoming interest	0
0.0028751	10	Incoming interest	0
0.00287514	7	Incoming interest	0
0.0028752	5	Incoming interest	0
0.00291847	21	Broadcasting	
0.0029625	20	Incoming interest	0
0.00296254	19	Incoming interest	0
0.00296257	18	Incoming interest	0
0.0029626	17	Incoming interest	0
0.00296263	16	Incoming interest	0
0.00296267	15	Incoming interest	0
0.0029627	14	Incoming interest	0
0.00296274	13	Incoming interest	0
0.00296277	12	Incoming interest	0
0.00296287	9	Incoming interest	0
0.00296293	7	Incoming interest	0
0.00296297	6	Incoming interest	0
0.00296304	38	Incoming interest	0
0.0029631	2	Incoming interest	0
0.00297827	31	Broadcasting	
0.00302264	42	Incoming interest	0
0.0030227	18	Incoming interest	0
0.0030229	12	Incoming interest	0
0.0030232	3	Incoming interest	0
0.00307437	34	Broadcasting	
0.0030752	3	Broadcasting	
0.00311847	37	Incoming interest	0
0.00311857	28	Incoming interest	0
0.0031186	27	Incoming interest	0
0.00311867	25	Incoming interest	0
0.00311924	2	Incoming interest	0
0.00311924	4	Incoming interest	0
0.00311927	1	Incoming interest	0
0.00311927	5	Incoming interest	0
0.0031193	0	Incoming interest	0
0.00311947	11	Incoming interest	0
0.00316264	16	Broadcasting	
0.00320667	15	Incoming interest	0
0.00320667	17	Incoming interest	0
0.0032067	18	Incoming interest	0
0.00320673	13	Incoming interest	0
0.00320673	19	Incoming interest	0
0.00320677	12	Incoming interest	0
0.0032068	11	Incoming interest	0
0.0032068	21	Incoming interest	0
0.00320683	10	Incoming interest	0
0.00320687	9	Incoming interest	0
0.00320687	23	Incoming interest	0
0.00320693	7	Incoming interest	0
0.00320697	6	Incoming interest	0
0.00320697	26	Incoming interest	0
0.003207	5	Incoming interest	0
0.00320707	29	Incoming interest	0
0.0032071	30	Incoming interest	0
0.00320713	1	Incoming interest	0
0.00320717	0	Incoming interest	0
0.00320717	32	Incoming interest	0
0.0032072	33	Incoming interest	0
0.00324967	15	Broadcasting	
0.0032937	14	Incoming interest	0
0.0032937	16	Incoming interest	0
0.00329373	13	Incoming interest	0
0.00329373	17	Incoming interest	0
0.00329377	12	Incoming interest	0
0.00329377	18	Incoming interest	0
0.0032938	11	Incoming interest	0
0.0032938	19	Incoming interest	0
