Time	Node	Event	SeqNo
0	2	Incoming interest	0
0	3	Incoming interest	0
0	6	Incoming interest	0
0	9	Incoming interest	0
0	12	Incoming interest	0
4.3e-05	2	Broadcasting	
4.3e-05	9	Broadcasting	
8.7033e-05	1	Incoming interest	0
8.7033e-05	3	Incoming interest	0
8.7033e-05	8	Incoming interest	0
8.7033e-05	10	Incoming interest	0
8.7099e-05	12	Incoming interest	0
0.000148333	12	Broadcasting	
0.000192366	11	Incoming interest	0
0.000192366	13	Incoming interest	0
0.000192399	14	Incoming interest	0
0.000192432	9	Incoming interest	0
0.000192432	15	Incoming interest	0
0.000192466	16	Incoming interest	0
0.000192499	7	Incoming interest	0
0.000192499	17	Incoming interest	0
0.000192532	6	Incoming interest	0
0.000192532	18	Incoming interest	0
0.000192566	5	Incoming interest	0
0.000192566	19	Incoming interest	0
0.000192599	4	Incoming interest	0
0.000192632	3	Incoming interest	0
0.000192666	2	Incoming interest	0
0.000192699	23	Incoming interest	0
0.000192732	0	Incoming interest	0
0.000192732	0	DataCached	0
0.000192799	26	Incoming interest	0
0.000192866	28	Incoming interest	0
0.000192899	29	Incoming interest	0
0.000192966	31	Incoming interest	0
0.000235254	31	Broadcasting	
0.000235532	6	Broadcasting	
0.000279287	30	Incoming interest	0
0.000279287	32	Incoming interest	0
0.00027932	33	Incoming interest	0
0.000279353	34	Incoming interest	0
0.000279387	35	Incoming interest	0
0.00027942	36	Incoming interest	0
0.000279453	37	Incoming interest	0
0.000279487	24	Incoming interest	0
0.000279487	38	Incoming interest	0
0.000279553	22	Incoming interest	0
0.000279587	41	Incoming interest	0
0.000279598	8	Incoming interest	0
0.00027962	20	Incoming interest	0
0.000279631	3	Incoming interest	0
0.000279631	9	Incoming interest	0
0.000279665	2	Incoming interest	0
0.000279665	10	Incoming interest	0
0.000279698	1	Incoming interest	0
0.000279731	0	Incoming interest	0
0.000279731	12	Incoming interest	0
0.000279853	49	Incoming interest	0
0.000350187	3	Broadcasting	
0.00039422	2	Incoming interest	0
0.00039422	4	Incoming interest	0
0.000394253	5	Incoming interest	0
0.000394286	0	Incoming interest	0
0.000394286	6	Incoming interest	0
0.00039432	7	Incoming interest	0
0.000394386	9	Incoming interest	0
0.000394486	12	Incoming interest	0
0.000394686	18	Incoming interest	0
0.000524453	11	Broadcasting	
0.000568486	10	Incoming interest	0
0.000568486	12	Incoming interest	0
0.000568519	9	Incoming interest	0
0.000568519	13	Incoming interest	0
0.000568619	6	Incoming interest	0
0.000568619	16	Incoming interest	0
0.000568719	3	Incoming interest	0
0.000568752	2	Incoming interest	0
0.000568786	1	Incoming interest	0
0.000568786	21	Incoming interest	0
0.000568819	0	Incoming interest	0
0.000568886	24	Incoming interest	0
0.000568919	25	Incoming interest	0
0.000629586	15	Broadcasting	
0.000673619	16	Incoming interest	0
0.000673652	13	Incoming interest	0
0.000673685	12	Incoming interest	0
0.000673785	9	Incoming interest	0
0.000673952	26	Incoming interest	0
0.000674052	29	Incoming interest	0
0.000674085	0	Incoming interest	0
0.000674385	39	Incoming interest	0
0.000735903	23	Broadcasting	
0.000779936	24	Incoming interest	0
0.000780002	26	Incoming interest	0
0.000780036	27	Incoming interest	0
0.000780069	28	Incoming interest	0
0.000780102	29	Incoming interest	0
0.000780202	14	Incoming interest	0
0.000780236	13	Incoming interest	0
0.000780269	12	Incoming interest	0
0.000780302	11	Incoming interest	0
0.000780469	40	Incoming interest	0
0.000868069	18	Broadcasting	
0.000912102	17	Incoming interest	0
0.000912102	19	Incoming interest	0
0.000912135	16	Incoming interest	0
0.000912135	20	Incoming interest	0
0.000912168	21	Incoming interest	0
0.000912202	14	Incoming interest	0
0.000912202	22	Incoming interest	0
0.000912235	13	Incoming interest	0
0.000912268	12	Incoming interest	0
0.000912268	24	Incoming interest	0
0.000912302	11	Incoming interest	0
0.000912335	10	Incoming interest	0
0.000912335	26	Incoming interest	0
0.000912402	8	Incoming interest	0
0.000912402	28	Incoming interest	0
0.000912468	6	Incoming interest	0
0.000912535	4	Incoming interest	0
0.000912635	1	Incoming interest	0
0.000973502	5	Broadcasting	
0.00101753	4	Incoming interest	0
0.00101753	6	Incoming interest	0
0.00101757	3	Incoming interest	0
0.00101757	7	Incoming interest	0
0.0010176	2	Incoming interest	0
0.00101764	9	Incoming interest	0
0.00101767	0	Incoming interest	0
0.00101774	12	Incoming interest	0
0.00101793	18	Incoming interest	0
0.00161642	0	Broadcasting	
0.00196197	39	Broadcasting	
0.00200445	1	DataCached	0
0.00200449	2	DataCached	0
0.00200452	3	DataCached	0
0.00200455	4	DataCached	0
0.00200459	5	DataCached	0
0.00200465	7	DataCached	0
0.00200472	9	DataCached	0
0.00200482	12	DataCached	0
0.00200489	14	DataCached	0
0.00200607	42	Incoming interest	0
0.00200611	43	Incoming interest	0
0.00200614	44	Incoming interest	0
0.00200617	45	Incoming interest	0
0.00200621	46	Incoming interest	0
0.00200627	48	Incoming interest	0
0.00221313	49	Broadcasting	
0.0022572	47	Incoming interest	0
0.0022576	35	Incoming interest	0
0.00225777	30	Incoming interest	0
0.00239844	0	Broadcasting	
0.00278671	8	DataCached	0
0.00278678	10	DataCached	0
0.00278681	11	DataCached	0
0.00278708	19	DataCached	0
0.00282108	19	Broadcasting	
0.00320911	18	DataCached	0
0.00320911	20	DataCached	0
0.00320914	17	DataCached	0
0.00320914	21	DataCached	0
0.00320917	16	DataCached	0
0.00320917	22	DataCached	0
0.00320921	15	DataCached	0
0.00320921	23	DataCached	0
0.00320924	24	DataCached	0
0.00320928	13	DataCached	0
0.00320928	25	DataCached	0
0.00320931	26	DataCached	0
0.00320934	27	DataCached	0
0.00320937	28	DataCached	0
0.00320941	29	DataCached	0
0.00320944	30	DataCached	0
0.00320971	38	DataCached	0
0.00320981	41	DataCached	0
0.00328826	41	Broadcasting	
0.00331271	0	Broadcasting	
0.00367629	40	DataCached	0
0.00367629	42	DataCached	0
0.00367633	39	DataCached	0
0.00367633	43	DataCached	0
0.00367636	44	DataCached	0
0.00367639	37	DataCached	0
0.00367639	45	DataCached	0
0.00367643	36	DataCached	0
0.00367643	46	DataCached	0
0.00367646	35	DataCached	0
0.00367646	47	DataCached	0
0.00367649	34	DataCached	0
0.00367649	48	DataCached	0
0.00367653	49	DataCached	0
0.00367656	32	DataCached	0
0.00379779	25	Broadcasting	
0.00384183	24	Incoming interest	0
0.00384183	26	Incoming interest	0
0.00384186	23	Incoming interest	0
0.00384186	27	Incoming interest	0
0.00384189	22	Incoming interest	0
0.00384189	28	Incoming interest	0
0.00384193	29	Incoming interest	0
0.00384196	20	Incoming interest	0
0.00384196	30	Incoming interest	0
0.00384199	19	Incoming interest	0
0.00384199	31	Incoming interest	0
0.00384203	18	Incoming interest	0
0.00384203	32	Incoming interest	0
0.00384206	17	Incoming interest	0
0.00384216	14	Incoming interest	0
0.00384216	36	Incoming interest	0
0.00384219	13	Incoming interest	0
0.00384223	12	Incoming interest	0
0.00384223	38	Incoming interest	0
0.00384226	11	Incoming interest	0
0.00384229	40	Incoming interest	0
0.00384233	9	Incoming interest	0
0.00384233	41	Incoming interest	0
0.00384236	42	Incoming interest	0
0.00384239	43	Incoming interest	0
0.00384243	6	Incoming interest	0
0.00384246	5	Incoming interest	0
0.00384253	3	Incoming interest	0
0.00384253	47	Incoming interest	0
0.00384256	2	Incoming interest	0
0.00389423	38	Broadcasting	
0.00393826	37	Incoming interest	0
0.00393826	39	Incoming interest	0
0.00393829	36	Incoming interest	0
0.00393829	40	Incoming interest	0
0.00393833	35	Incoming interest	0
0.00393833	41	Incoming interest	0
0.00393836	34	Incoming interest	0
0.00393836	42	Incoming interest	0
0.00393839	43	Incoming interest	0
0.00393842	32	Incoming interest	0
0.00393842	44	Incoming interest	0
0.00393846	31	Incoming interest	0
0.00393846	45	Incoming interest	0
0.00393853	29	Incoming interest	0
0.00393856	28	Incoming interest	0
0.00393856	48	Incoming interest	0
0.00393859	27	Incoming interest	0
0.00393859	49	Incoming interest	0
0.00393863	26	Incoming interest	0
0.00393869	24	Incoming interest	0
0.00393872	23	Incoming interest	0
0.00393889	18	Incoming interest	0
0.00393906	13	Incoming interest	0
0.00405039	0	Broadcasting	
0.00443859	6	DataCached	0
0.00449166	38	Broadcasting	
0.00487983	33	DataCached	0
0.00487989	31	DataCached	0
0.00526783	10	Broadcasting	
0.0067234	27	Broadcasting	
0.00741899	49	Broadcasting	
0.00785903	48	Broadcasting	
0.00840542	6	Broadcasting	
0.00888789	20	Broadcasting	
0.0591507	6	Broadcasting	
0.0597321	20	Broadcasting	
0.1	2	Incoming interest	1
0.1	2	Broadcasting	
0.1	3	Incoming interest	1
0.1	3	Broadcasting	
0.1	6	Incoming interest	1
0.1	6	Broadcasting	
0.1	9	Incoming interest	1
0.1	9	Broadcasting	
0.1	12	Incoming interest	1
0.1	12	Broadcasting	
0.110094	20	Broadcasting	
0.110694	6	Broadcasting	
0.161153	20	Broadcasting	
0.2	2	Incoming interest	2
0.2	2	Broadcasting	
0.2	3	Incoming interest	2
0.2	3	Broadcasting	
0.2	6	Incoming interest	2
0.2	6	Broadcasting	
0.2	9	Incoming interest	2
0.2	9	Broadcasting	
0.2	12	Incoming interest	2
0.2	12	Broadcasting	
0.212701	20	Broadcasting	
0.264293	20	Broadcasting	
0.3	2	Incoming interest	3
0.3	2	Broadcasting	
0.3	3	Incoming interest	3
0.3	3	Broadcasting	
0.3	6	Incoming interest	3
0.3	6	Broadcasting	
0.3	9	Incoming interest	3
0.3	9	Broadcasting	
0.3	12	Incoming interest	3
0.3	12	Broadcasting	
0.315485	20	Broadcasting	
0.36727	20	Broadcasting	
0.4	2	Incoming interest	1
0.4	2	Broadcasting	
0.4	3	Incoming interest	1
0.4	3	Broadcasting	
0.4	6	Incoming interest	1
0.4	6	Broadcasting	
0.4	9	Incoming interest	1
0.4	9	Broadcasting	
0.4	12	Incoming interest	1
0.4	12	Broadcasting	
0.5	2	Incoming interest	4
0.5	2	Broadcasting	
0.5	3	Incoming interest	4
0.5	3	Broadcasting	
