Time	Node	Event	SeqNo
0	0	Incoming interest	0
0.000133	0	Broadcasting	
0.000181383	1	Incoming interest	0
0.00121065	1	Broadcasting	
0.00125903	2	Incoming interest	0
0.00125903	2	DataCached	0
0.00265571	2	Broadcasting	
0.00274409	1	DataCached	0
0.00405238	2	Broadcasting	
0.00453751	1	Broadcasting	
0.0046259	0	DataCached	0
0.00731172	0	Broadcasting	
0.0583096	0	Broadcasting	
0.110101	0	Broadcasting	
0.160276	0	Broadcasting	
0.210908	0	Broadcasting	
0.262762	0	Broadcasting	
0.314671	0	Broadcasting	
0.365814	0	Broadcasting	
1	0	Incoming interest	1
1	0	Broadcasting	
1.00005	1	Incoming interest	1
1.00103	1	Broadcasting	
1.00108	0	Incoming interest	1
1.00108	2	Incoming interest	1
1.00108	2	DataCached	1
1.00174	2	Broadcasting	
1.00183	1	DataCached	1
1.0024	2	Broadcasting	
1.00432	1	Broadcasting	
1.00441	0	DataCached	1
1.00686	0	Broadcasting	
1.0525	2	Broadcasting	
1.05293	1	Broadcasting	
1.05298	0	Incoming interest	1
1.05875	0	Broadcasting	
1.10181	1	Broadcasting	
1.10338	2	Broadcasting	
1.1107	0	Broadcasting	
1.15196	2	Broadcasting	
1.16161	0	Broadcasting	
1.21292	0	Broadcasting	
1.2632	0	Broadcasting	
1.31401	0	Broadcasting	
1.36514	0	Broadcasting	
2	0	Incoming interest	2
2	0	Broadcasting	
3	0	Incoming interest	2
3	0	Broadcasting	
3.00005	1	Incoming interest	2
3.00127	1	Broadcasting	
3.00132	0	Incoming interest	2
3.00132	2	Incoming interest	2
3.00132	2	DataCached	2
3.00243	2	Broadcasting	
3.00252	1	DataCached	2
3.00355	2	Broadcasting	
3.00406	1	Broadcasting	
3.05272	1	Broadcasting	
3.05277	0	Incoming interest	2
3.05277	2	Incoming interest	2
3.05352	2	Broadcasting	
3.10186	1	Broadcasting	
3.10195	0	DataCached	2
3.10418	2	Broadcasting	
3.10489	0	Broadcasting	
3.15278	2	Broadcasting	
3.15521	0	Broadcasting	
3.20345	2	Broadcasting	
3.20622	0	Broadcasting	
3.25359	2	Broadcasting	
3.25793	0	Broadcasting	
3.30268	2	Broadcasting	
3.30967	0	Broadcasting	
3.35354	2	Broadcasting	
3.36067	0	Broadcasting	
3.40374	2	Broadcasting	
3.41215	0	Broadcasting	
3.45329	2	Broadcasting	
3.46375	0	Broadcasting	
3.50276	2	Broadcasting	
3.55268	2	Broadcasting	
3.60324	2	Broadcasting	
3.65255	2	Broadcasting	
3.70363	2	Broadcasting	
4	0	Incoming interest	3
4	0	Broadcasting	
4.00005	1	Incoming interest	3
4.00126	1	Broadcasting	
4.00131	0	Incoming interest	3
4.00131	2	Incoming interest	3
4.00131	2	DataCached	3
4.00153	2	Broadcasting	
4.00177	2	Broadcasting	
4.00186	1	DataCached	3
4.00501	1	Broadcasting	
4.0051	0	DataCached	3
4.00657	0	Broadcasting	
4.05202	1	Broadcasting	
4.05207	2	Incoming interest	3
4.05662	0	Broadcasting	
4.10766	0	Broadcasting	
4.15868	0	Broadcasting	
4.20973	0	Broadcasting	
4.26088	0	Broadcasting	
4.31249	0	Broadcasting	
4.36439	0	Broadcasting	
5	0	Incoming interest	4
5	0	Broadcasting	
6	0	Incoming interest	4
6	0	Broadcasting	
7	0	Incoming interest	4
7	0	Broadcasting	
7.00005	1	Incoming interest	4
7.00061	1	Broadcasting	
7.00065	0	Incoming interest	4
7.052	1	Broadcasting	
7.05205	0	Incoming interest	4
7.05205	2	Incoming interest	4
7.05205	2	DataCached	4
7.05388	2	Broadcasting	
7.05572	2	Broadcasting	
7.10291	1	Broadcasting	
7.10458	2	Broadcasting	
7.15297	1	Broadcasting	
7.15302	0	Incoming interest	4
7.15302	2	Incoming interest	4
7.15556	2	Broadcasting	
7.2034	1	Broadcasting	
7.20443	2	Broadcasting	
7.20451	1	DataCached	4
7.20681	1	Broadcasting	
7.2069	0	DataCached	4
7.20943	0	Broadcasting	
7.25515	2	Broadcasting	
7.2608	0	Broadcasting	
7.30566	2	Broadcasting	
7.31109	0	Broadcasting	
7.35424	2	Broadcasting	
7.3623	0	Broadcasting	
7.40402	2	Broadcasting	
7.41408	0	Broadcasting	
7.4543	2	Broadcasting	
7.46518	0	Broadcasting	
7.50414	2	Broadcasting	
7.51604	0	Broadcasting	
7.55583	2	Broadcasting	
7.56616	0	Broadcasting	
7.60567	2	Broadcasting	
7.6557	2	Broadcasting	
7.70434	2	Broadcasting	
7.75448	2	Broadcasting	
