Time	NodeId	X	Y	Z
0.0026557	2	230	20	0
0.00405238	2	230	20	0
0.00597086	1	110	20	0
0.0103784	0	0	20	0
0.0613763	0	0	20	0
0.113167	0	0	20	0
0.163342	0	0	20	0
0.213974	0	0	20	0
0.265829	0	0	20	0
0.317738	0	0	20	0
0.368881	0	0	20	0
1.00174	2	230	20	0
1.0024	2	230	20	0
1.00576	1	110	20	0
1.00993	0	0	20	0
1.0525	2	230	20	0
1.06182	0	0	20	0
1.10181	1	110	20	0
1.10338	2	230	20	0
1.11376	0	0	20	0
1.15196	2	230	20	0
1.16468	0	0	20	0
1.21599	0	0	20	0
1.26627	0	0	20	0
1.31707	0	0	20	0
1.36821	0	0	20	0
3.00243	2	230	20	0
3.00355	2	230	20	0
3.0055	1	110	20	0
3.05352	2	230	20	0
3.10186	1	110	20	0
3.10418	2	230	20	0
3.10653	0	0	20	0
3.15278	2	230	20	0
3.15685	0	0	20	0
3.20345	2	230	20	0
3.20785	0	0	20	0
3.25359	2	230	20	0
3.25956	0	0	20	0
3.30268	2	230	20	0
3.3113	0	0	20	0
3.35354	2	230	20	0
3.3623	0	0	20	0
3.40374	2	230	20	0
3.41378	0	0	20	0
3.45329	2	230	20	0
3.46538	0	0	20	0
3.50276	2	230	20	0
3.55268	2	230	20	0
3.60324	2	230	20	0
3.65255	2	230	20	0
3.70363	2	230	20	0
4.00153	2	230	20	0
4.00175	2	230	20	0
4.00644	1	110	20	0
4.00964	0	0	20	0
4.05968	0	0	20	0
4.11072	0	0	20	0
4.16175	0	0	20	0
4.21279	0	0	20	0
4.26395	0	0	20	0
4.31555	0	0	20	0
4.36745	0	0	20	0
6.00249	2	230	20	0
6.00432	2	230	20	0
6.00617	0	0	20	0
6.05318	2	230	20	0
6.05754	0	0	20	0
6.10417	2	230	20	0
6.10784	0	0	20	0
6.15904	0	0	20	0
6.21082	0	0	20	0
6.26192	0	0	20	0
6.31279	0	0	20	0
6.36291	0	0	20	0
